,Title,price,rating,combined
30,"Casio HS-4G, Elementary/Secondary Standard Function Calculator",3.17,4.1,0.6111111111111109
3,"Casio HS-8VA, Solar Powered Standard Function Calculator",4.23,4.4,0.5787431144653591
115,"deli Standard Function Basic Calculator, 12 Digit Desktop Calculator with Large LCD Display, Solar Battery Dual Power Office Calculator, Pink",5.99,4.6,0.46154504361423626
50,Texas Instruments TI-503 SV Standard Function Calculator,6.52,4.6,0.42249550730229135
152,"Mr. Pen- Standard Function Calculator, 12 Digits, Small Calculator, Solar Calculator, Pocket Calculator, Simple Calculator, Basic Office Calculators, Solar Handheld Calculator, Standard Calculator",5.85,4.4,0.41391121477585807
71,Sharp Calculators EL-243SB 8-Digit Pocket Calculator,6.39,4.5,0.40450698924472445
69,"Comix Desktop Calculator 12 Digit with Large LCD Display and Big Button, 12 Digits Baisc Calculator, Solar Battery Dual Powered, for Office Home School C-1832 (Black)",6.99,4.6,0.39282072673192975
77,"Mechanical Switch Calculator with Big Buttons, Calculators Desktop, 12 Digits, Large LCD Display, Desk Calculator, Cute Pink Calculator for Teachers Students Basic Office (Pink)",6.99,4.6,0.39282072673192975
41,"Desk Calculator,12 Digits, Large LCD Display,Big Buttons,Solar and Battery Dual Power Desktop Calculators,Cute and Aesthetic,Suitable for Office and Study (Ombre Purple, M)",7.99,4.8,0.38396136633554345
14,"Cute Pink Desktop Calculator with Big Buttons, Dual Power Source, Solar and Battery, Large Display Screen - Perfect for Office, Teachers, and Students (Pink)",5.99,4.3,0.37500534793656704
44,"Desk Calculator, 12-Digit Solar Battery Office Calculator with Large LCD Display Big Sensitive Button, Dual Power Desktop Calculators (1)",5.29,4.1,0.3610143548613987
126,"Calculators, KK-837-12S Standard Function Desktop Calculator, 12 Digit Large LCD Display, Battery and Solar Powered Basic Calculators for Office, Primary School, Market or Home Use, Black",6.39,4.3,0.3505727240120945
5,"Office Desk Calculator, Cute Calculator for Kids, Basic Calculators Desktop, Dual Power Simple Financial Calculator with Big Button Large Display for Office Home and School (Blue)",6.99,4.4,0.3437181358904387
22,Casio Inc. SL-300SV Solar Powered Standard Function Calculator,8.02,4.6,0.3399518466984178
148,"Electronic Calculator,12 Digits Large LCD Display Small Desktop Calculator,Pink Basic Calculators with Big Buttons,Easy to Press Mechanical Switch Calculator Office Supplies for Home and School (Pink)",7.72,4.5,0.3317760512393828
125,"Electronic Calculator,12 Digits Large LCD Display Small Desktop Calculator,Pink Basic Calculators with Big Buttons,Easy to Press Mechanical Switch Calculator Office Supplies for Home and School (Pink)",7.72,4.5,0.3317760512393828
73,"Mechanical Switch Calculator,10 Digits,Large LCD Display,Purple Calculator Big Buttons,Cute Calculator,Calculators Desktop Calculator,Aesthetic CalculatorMechanical Switch (Gradient Purple, S)",7.89,4.5,0.32424699876454527
2,Casio MS-80B Standard Function Desktop Calculator,8.99,4.7,0.32006672198408176
103,"Calculator, Deli Standard Function Basic Calculators, Solar Battery Dual Power Office Calculator with Cover, Metal Panel",7.99,4.5,0.31996780527961954
18,"M&G Desk Calculator 12 Digit Office Calculators with Large LCD Display, Dual Solar Power and Battery, Recessed Big Button Calculator for Office Home School (Black)",7.69,4.4,0.3109299787901042
47,"CATIGA 12 Digit Desktop Calculator with Large LCD Display, 4 Funtions Calculator, Round Design Big Button, Solar and Battery Dual Power, Standard Function for Office, Home, School, SD-1292",9.99,4.8,0.3028494465852401
159,FX-300ESPLS2BUSAIT,9.49,4.7,0.3021488071216352
28,"M&G Mechanical Switch Calculator, 12 Digits, Large LCD Display and Big Buttons, Cute Pink Desktop Calculator for Office, Home, School (Battery Included)",8.99,4.6,0.30123926774972387
60,FX-300ESPLS2-SA-IT,9.59,4.7,0.29878943163439026
