Title,price,reviews,rating
"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",9.99,--,4.7
"CATIGA 12 Digits Desktop Calculator with Large LCD Display and Sensitive Button, Dual Solar Power and Battery, Standard Function for Office, Home, School, CD-2786",9.99,--,4.7
Casio MS-80B Standard Function Desktop Calculator,8.99,--,4.7
Texas Instruments TI-30XS MultiView Scientific Calculator,15.44,--,4.8
"Casio HS-8VA, Solar Powered Standard Function Calculator",4.23,--,4.4
"Office Desk Calculator, Cute Calculator for Kids, Basic Calculators Desktop, Dual Power Simple Financial Calculator with Big Button Large Display for Office Home and School (Blue)",6.99,--,4.4
"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",119.99,--,4.7
"Amazon Basics LCD 8-Digit Desktop Calculator, 1 Pack, Small, Black",9.49,--,4.6
"Mr. Pen- Mechanical Switch Calculator, 12 Digits, Large LCD Display, Pink Calculator Big Buttons, Mechanical Calculator, Calculators Desktop Calculator, Cute Calculator, Aesthetic Calculator Pink",9.99,--,4.6
"Calculator, Splaks 2 Pack Standard Functional Desktop Calculators Solar and AA Battery Dual Power Electronic Office Calculators with 12-Digit Large Display (1 Basic Black&1 Updated Silver)",15.99,--,4.3
"Desk Calculator 12 Digit Extra Large LCD Display, Touch Comfortable with Big Buttons, PXY Two Way Power Battery and Solar Standard Function Office Calculators",14.99,--,4.6
"Calculator, Deli Standard Function Desktop Calculators with 12 Digit Large LCD Display and Sensitive Button, Solar Battery Dual Power Office Calculator, Green",8.99,--,4.5
Texas Instruments TI-1795 SV Standard Function Calculator,14.14,--,4.7
"Cute Pink Desktop Calculator with Big Buttons, Dual Power Source, Solar and Battery, Large Display Screen - Perfect for Office, Teachers, and Students (Pink)",5.99,--,4.3
"Calculators, BESTWYA 12-Digit Dual Power Handheld Desktop Calculator with Large LCD Display Big Sensitive Button (Black, Pack of 5)",20.99,--,4.5
"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",107.9,--,4.7
